"1","Good morning","Selamat Pagi","Greeting"
"2","Good afternoon","Selamat Sore","Greeting"
"3","Good evening","Selamat Malam","Greeting"
"4","Good night","Selamat malam/ Selamat tidur","Greeting"
"5","A : How are you? <br>B : Fine, thank you","A : Apa kabarmu?<br>B : Baik, terima kasih","Greeting"
"6","A : How do you do? <br>B : How do you do?","A : Hi!<br>B : Hi!","Greeting"
"7","A : How have you been?<br>B : I have been good","A : Bagaimana kabarmu?<br>B : Aku baik-baik saja","Greeting"
"8","A : How's life?<br>B : So-so, thanks","A : Apa kabar?<br>B : Biasa-biasa saja","Greeting"
"9","A : How's tricks?<br>B : Not good, man","A : Apa kabar?<br>B : Buruk, bro","Greeting"
"10","A : How's everything??<br>B : Good, and you?","A : Apa kabar?<br>B : Baik, kamu?","Greeting"
"11","A : How are you tonight?<br>B : Great. thanks","A : Apa kabarmu malam ini?<br>B : Baik. makasih","Greeting"
"12","I am very well. thank you","Kabarku sangat baik. terima kasih","Greeting"
"13","A : Whatcha!<br>B : I'm good","A : Apa kabar?<br>B : Aku baik","Greeting"
"14","A : How's it goin'??<br>B : Pretty well!","A : Apa kabar?<br>B : Sangat baik!","Greeting"
"15","A : How are things??<br>B : Busy as always","A : Apa kabar??<br>B : Sibuk seperti biasa","Greeting"
"16","A : How're you doing??<br>B : Okay. I guess. You doing all right","A : Apa kabar??<br>B : Baik sepertinya. Kau baik?","Greeting"
"17","A : How are you doing??<br>B : I'm okay. Can't complain. What about you?","A : Apa kabar??<br>B : Aku baik. Tidak ada masalah. Gimana denganmu?","Greeting"
"18","A : How's it going??<br>B : Couldn't be better. Yourself?","A : Apa kabar??<br>B : Biasa saja. Kau sendiri?","Greeting"
"19","A : What's happening??<br>B : Not much, you?","A : Apa kabarmu??<br>B : Biasa saja. Kau?","Greeting"
"20","Good bye!","Selamat tinggal/ Selamat jalan","Parting"
"21","See you at tomorrow","Sampai jumpa besok","Parting"
"22","See you next week","Sampai jumpa minggu depan","Parting"
"23","Take care!","Hati-hati","Parting"
"24","See you!","Daaa.","Parting"
"25","Se you soon!","Sampai ketemu lagi","Parting"
"26","Bye for now!","Sampai ketemu lagi","Parting"
"27","Be seeing you!","Sampai ketemu lagi","Parting"
"28","Catch ya later!","Sampai ketemu lagi","Parting"
"29","I'm off","Aku pergi dulu","Parting"
"30","I'd like to introduce myself. My name is Putri","aku ingin memperkenalkan diri. Nama aku Putri","Introducting"
"31","May I introduce myself?","Bolehkah aku memperkenalkan diri?","Introducting"
"32","Pleased to meet you","Senang bertemu denganmu","Introducting"
"33","Pleased meeting you","Senang bertemu denganmu","Introducting"
"34","I'm glad to meet you","Senang bertemu denganmu","Introducting"
"35","Nice to mee you","Senang bertemu denganmu","Introducting"
"36","I've heard so much about you","Aku sudah mendengar banyak tentangmu","Introducting"
"37","Sorry","Maaf. (Ungkapan maaf sekilas)","Apologising"
"38","I'm so/very/terrible sorry","Aku sungguh-sungguh minta maaf (Ungkapan maaf formal dan masalahnya lebih berat","Apologising"
"39","Ever so sorry","Aku minta maaf (Sedikit formal. lebih berat daripada sekedar 'sorry)","Apologising"
"40","How stupid / careless / thoughtless of me","Ah, bodohnya aku!","Apologising"
"41","Pardon (me)","Maaf / permisi","Apologising"
"42","That's my fault","Ini salahku","Apologising"
"43","Sorry It was all my fault","Maaf, ini semua salahku","Apologising"
"44","Please excuse my (ignorance)","Tolong maafkan kebodohanku","Apologising"
"45","Please don't be mad at me","Tolong jangan marah padaku","Apologising"
"46","Please accept our (sincerest) apologies","Mohon terima permintaan maaf aku (Sering digunakan dalam surat formal)","Apologising"
"47","That's okay","Tidak apa-apa","Apologising"
"48","No problem","Tidak apa-apa","Apologising"
"49","Don't worry about it","Tidak apa-apa","Apologising"
"50","Thanks","Terima kasih","Thanking"
"51","Thank you","Terima kasih","Thanking"
"52","Thanks a lot","Terima kasih banyak","Thanking"
"53","Thank you very much ","Terima kasih banyak","Thanking"
"54","Thanks for your support","Terima kasih atas dukunganmu","Thanking"
