"1","I was really angry at John yesterday. By the time he finally arrived, I _____ for over an hour. I almost left without him.","A","had been waiting","have been waiting","waited","am waiting","tenses"
"2","Did you hear that Ben was fired last month? He ____ for that import company for more than ten years and he had worked in almost every department. Nobody knew the company like he did","D","Has been working","Has worked","Worked","Had been working","tenses"
"3","I ___ many pictures of the pyramids before I went to Egypt. Pictures of the monuments are very misleading. The pyramids are actually quite small","C","Have seen","Have been seeing","had seen","had been seeing","tenses"
"4","By the time we get to Chicago this evening, we ____ more than four hundred miles. We are going to be exhausted","B","Will drive","will have driven","will driving","would drive","tenses"
"5","I came to England six months ago. I started my economics course three months ago. When I return to Australia, I ____ for nine months and I will have been in England for exactly one year","D","Will studying","Had been studying","Have been studying","will have been studying","tenses"
"6","Sarah ____ the Matterhorn, ____ has sailed around the world, and ____ on safari in Kenya. She is such an adventurous person","A","has climbed, has sailed, has gone","had climbed, had sailed, had gone","climbed, sailed, gone","had ben climbing, had been sailing, had been going","tenses"
"7","When Sarah goes on vacation next month, she _____ German for over two years. She should be able to communicate fairly well while she is in Austria.","C","Will have studying","Has been studying","will have studied","will study","tenses"
"8","Margie just called and said she would be here at 8 o'clock. By the time she gets here, we _____ for her for two hours","C","Will wait","Had been waiting","will have been waiting","have been waiting","tenses"
"9","I have not traveled much yet. However, I ____ the Grand Canyon and San Francisco by the time I leave the United States.","A","will have visited","will have been visiting","will visit","am going to have been visiting","tenses"
"10","In June, my grandmother and grandfather ___ for fifty years","D","Are going to have been marrying","are going to have been married","will be marry","had been married","tenses"
"11","When do you want to meet"," "," "," "," "," ","speaking"
"12","The teacher just walked"," "," "," "," "," ","speaking"
"13","Strengthen your resolve"," "," "," "," "," ","speaking"
"14","This note here says that you were caught throwing chalk pieces at a classmate"," "," "," "," "," ","speaking"
"15","I am responsible for all of them at once"," "," "," "," "," ","speaking"
