no,kd1,kd2,kd3,kd4,kd5,kd6,kd7,kd8,kd9,kd10,kd11,kd12,kd13,kd14,kd15,kd16,kd17,kd18,kd19,kd20,kd21,kd22,kd23,kd24,kd25,kd26,kd27,kd28,kd29,kd30,kd31,kd32,kd33,kd34,kd35,kd36,37
1,She studies English everyday.,She is studying English now.,,,,,,,,,,,,,,,,,,,,,,,,,May I help you?,Yours faithfully,,You should do your homework earlier.,,,,,,,
2,We study English everyday,We are studying English now.,,,,,,,,,,,,,,,,,,,,,,,,,What can I do for you?,I believe I am a suitable canditate to fulfil this job vacancy.,,You should not come to school too late.,,,,,,,
3,She does not study English everyday.,She is not studying English now.,,,,,,,,,,,,,,,,,,,,,,,,,Would you like to have some coffee?,I hereby would like to apply for a position as a Junior Drafter in your company.,,You have to submit your homework on time.,,,,,,,
4,We do not study English everyday.,We are not studying English now.,,,,,,,,,,,,,,,,,,,,,,,,,Do you want to book a table?,Please see my enclosed curriculum vitae for specific details of my education and work experience.,,You don't have to submit your homework too early.,,,,,,,
5,Does she study English everday?,Is she studying English?,,,,,,,,,,,,,,,,,,,,,,,,,What kind of room do you want to book?,I have worked in another company but I want a new opportunity to grow in your company.,,You must arrive one hour before departure time.,,,,,,,
6,Do we study English everyday?,Are we studying English?,,,,,,,,,,,,,,,,,,,,,,,,,"Please, sit down.",Dear Mr. Ashby,,You must not leave your baggage unattended.,,,,,,,
7,He studies English everyday.,He is studying English now.,,,,,,,,,,,,,,,,,,,,,,,,,Would you like some juice?,I am interested in the position that you advertised in Jakarta Post.,,I have to do my laundry during weekend.,,,,,,,
8,I study English everyday.,I am studying English now.,,,,,,,,,,,,,,,,,,,,,,,,,Welcome to Winnie Service Center!,I would like to apply for the position of Junior Mechanic.,,I don't have to do my laundry everyday.,,,,,,,
9,He does not study English everyday.,He is not studying English now.,,,,,,,,,,,,,,,,,,,,,,,,,Welcome to Yellow Sunset Hotel!,I am a hard working person.,,You must show your ID card before entering train gate.,,,,,,,
10,I do not study English everyday.,I am not studying English now.,,,,,,,,,,,,,,,,,,,,,,,,,What do you want for starter?,I am eager to learn new things.,,You must show your boarding pass before entering train gate.,,,,,,,
11,Does he study English everyday?,Is he studying English now?,,,,,,,,,,,,,,,,,,,,,,,,,Do you want to make an order?,I enjoy working in team.,,The teacher let the students go home earlier today.,,,,,,,
12,Do you study English everyday?,Are you studying English now?,,,,,,,,,,,,,,,,,,,,,,,,,Do you want to see the menu?,I was majoring in building design and modelling.,,The teacher let the students do the examination outdoor.,,,,,,,
13,I am Yoko.,I am healthy.,,,,,,,,,,,,,,,,,,,,,,,,,Let me escort you to your table.,I can operate Microsoft Office.,,I made my friends take off their shoes before entering my house.,,,,,,,
14,You are Yuni.,You are diligent.,,,,,,,,,,,,,,,,,,,,,,,,,"Good morning, Sir!",I am able to use AutoCAD.,,I made my friends clean their dishes before they left my house.,,,,,,,
15,She is a student.,She is diligent.,,,,,,,,,,,,,,,,,,,,,,,,,"Good morning, Madam!",You can see my detail in my curriculum vitae.,,Mr. Tono had the mechanic fix his car.,,,,,,,
16,He is a student.,He is clever.,,,,,,,,,,,,,,,,,,,,,,,,,"Good evening, Sir!",Your company offers a big opportunity and challenge that I am looking for.,,Mrs. Julie had the plumber fix her kitchen tap.,,,,,,,
17,We are students.,We are energetic.,,,,,,,,,,,,,,,,,,,,,,,,,"Good evening, Madam!",I am looking forward to your reply.,,Mr. Tono got the mechanic to fix his car.,,,,,,,
18,They are students.,They are energetic.,,,,,,,,,,,,,,,,,,,,,,,,,What do you want for dessert?,I believe my skills can make a great contribution for your company.,,Mrs. Julie got the plumber to fix her kitchen tap.,,,,,,,
19,It is a cat.,It is cloudy.,,,,,,,,,,,,,,,,,,,,,,,,,Thank you for waiting,I am looking forward to an interview according to your convenience.,,Mr. Tono had his car fixed.,,,,,,,
20,They are cats.,It is dark.,,,,,,,,,,,,,,,,,,,,,,,,,"Here is your order, Sir.",Sincerely yours.,,Mrs. Julie got her kitchen tap fixed.,,,,,,,
